doc_id,path,size_bytes,mtime,sha1
64625825.txt,datos/core/64625825.txt,47171,1752593149,8d1056a9a2fb9cf31d2308cad3e32fa2d73c691a
46771462.txt,datos/core/46771462.txt,111896,1752593052,96347bdc4b0f55e336278b2dad8dda46f034068b
128831023.txt,datos/core/128831023.txt,40377,1752593335,ac6e9fba76170681b4b75d4278179b02bb928eff
85697402.txt,datos/core/85697402.txt,16942,1752593225,bd16288a42a4e67606e081853da1c65c9246ab53
24333609.txt,datos/core/24333609.txt,104206,1752593321,8396d5578c1c3d0c496c5064a72260abbf8ada64
54460932.txt,datos/core/54460932.txt,18342,1752593035,1dae2289863fbf67107c95e0ed1d30339117d5dd
98900524.txt,datos/core/98900524.txt,26644,1752593036,8dd9e574f651b7b0fa81e43905ee67cd8c12ebe5
158026548.txt,datos/core/158026548.txt,20301,1752593040,ed7188203216a36f2fe1b492e0d1b5a7af33c2cb
149992268.txt,datos/core/149992268.txt,28725,1752593224,4c797b862453818977b9db4f0c5c61a1723d093c
162678266.txt,datos/core/162678266.txt,44196,1752593093,963632bbc082ecf2ccb12f7373ce415783a158f4
7764420.txt,datos/core/7764420.txt,67533,1752593030,73e7eefbae21e4b57d61dd26dbdc4c8111adf2a6
86578241.txt,datos/core/86578241.txt,146953,1752593030,feb0dfc454220bfaf8a1d83b9e77512b9af4347a
69418703.txt,datos/core/69418703.txt,236861,1752593064,ffaa115ec741a13b4bf7894433570682e9e0da16
70708081.txt,datos/core/70708081.txt,36494,1752593349,9943ccaaaf4de9f67be0662f4cacb861d1420473
46391639.txt,datos/core/46391639.txt,51744,1752593295,679a4474d86d333ff249a3b6e788de60c1e68870
158096976.txt,datos/core/158096976.txt,82863,1752593034,0bffc8dc631f4bf26cb9184f2f9a80d252e80acb
41006800.txt,datos/core/41006800.txt,55504,1752593025,0ae9eef6210845bf6a26e179a596ed5a4557e673
39922486.txt,datos/core/39922486.txt,44751,1752593179,f2578e84c27b6b7670598b34f4403120429fc169
11747991.txt,datos/core/11747991.txt,140812,1752593482,93908c61667752c2c88d578be0c295479d3fa729
148295791.txt,datos/core/148295791.txt,35025,1752593076,04aa100a59cdaf542641318b9242f4306fc7b9a6
87534252.txt,datos/core/87534252.txt,128745,1752593041,8132c784de9181a5a547a8bcd659a39f3aa278c5
51441964.txt,datos/core/51441964.txt,18876,1752593081,56723e31b1b92ca1d1e56b1b7313efd66a972c31
148775311.txt,datos/core/148775311.txt,131031,1752593225,55e2e6fe68fc7cb9d429ead78f56e9f55771a775
7690223.txt,datos/core/7690223.txt,11362,1752593280,4de0c5475971854e7f26672dc82801fb8610c440
154799303.txt,datos/core/154799303.txt,122655,1752593085,5f3f787a4e436a4f55805e53ce0b08e7ce397cd7
112795623.txt,datos/core/112795623.txt,98201,1752593035,7dc76c9a5bfff77efd214c429e1a21c3a43ad50d
158666109.txt,datos/core/158666109.txt,286605,1752593505,dfc56380efb6ea03480af32010878e817b05ca08
268649559.txt,datos/core/268649559.txt,36915,1752593467,37c43a0aaaa5d966099c1db7498d7e858311d2fe
11453027.txt,datos/core/11453027.txt,43117,1752593503,092a39c93f0e0f5d01d2903d3711052c1aeb182d
46564530.txt,datos/core/46564530.txt,35013,1752593105,3969088a6da5443c71a37ddcf9dd138ace517e4e
143313699.txt,datos/core/143313699.txt,22659,1752593301,0e786594f77d7e3358de00a297c6a91b1b8ecb37
14164525.txt,datos/core/14164525.txt,27221,1752593025,2260ed43734d7661708b04994af1688f9b6ccd5f
85269847.txt,datos/core/85269847.txt,64337,1752593397,0c188e198852aaf4ae577ec473c443a2a792acb2
112982580.txt,datos/core/112982580.txt,92677,1752593084,9127518e201f845c72d68dda6b547d144c165ecc
159080168.txt,datos/core/159080168.txt,354975,1752593151,878af64c145c2ca9794779fe54c69859fbad57d2
192276516.txt,datos/core/192276516.txt,4977,1752593372,5d45109ada3200761c4a2e55390a057a5dd012e3
82291087.txt,datos/core/82291087.txt,26057,1752593122,0f570cab4ea9af63a3e505a9a2e4769fea4b3fe5
90817633.txt,datos/core/90817633.txt,162957,1752593480,c3b7716ed64885275205f98299e49c0b952f31cd
79369719.txt,datos/core/79369719.txt,143321,1752593368,deb415b05d106261c9aa506e7eb26ec2cd7d90ed
76349773.txt,datos/core/76349773.txt,103280,1752593273,7fc1eac2bcc5e3ae1c233f948078d6b8f42e3d57
37046148.txt,datos/core/37046148.txt,117593,1752593025,1b4d5d30fecf784782e261df8da9f56c5664f641
41057596.txt,datos/core/41057596.txt,29614,1752593291,4d73678d9d764e842d75781db0820519edc44a04
46392067.txt,datos/core/46392067.txt,89860,1752593336,4510792cbb406b40dc7968022692b839925df755
276273445.txt,datos/core/276273445.txt,39630,1752593427,cee0385ea09407825ca43290cd878a5503f15624
108647181.txt,datos/core/108647181.txt,5254,1752593388,07abb6235964b3865d7f5912e720b4a0ac7fe5cb
108118236.txt,datos/core/108118236.txt,3117,1752593027,78eafcde2b9baae6d6224bc69b663a3ff4c71d31
131635430.txt,datos/core/131635430.txt,69359,1752593036,6cc1b49539b7eab4717f7b0f97f9a02b9d64ff2b
157831839.txt,datos/core/157831839.txt,56247,1752593202,cd3639ad0119342023e01096c55153293cc08194
39372055.txt,datos/core/39372055.txt,15730,1752593419,38614b9d021cb25d348791e251ae0fde1b26e797
98637408.txt,datos/core/98637408.txt,36222,1752593039,1ed82b8d61ce89f76116c023c9d780493384c24d
157498325.txt,datos/core/157498325.txt,58614,1752593497,630bd2a51aac14fa9cfa7df979b07a091f75d29c
13934758.txt,datos/core/13934758.txt,23652,1752593315,2706ebef860568bbde6ded04b5c1cb6c09828e37
11050276.txt,datos/core/11050276.txt,43034,1752593369,0b161fffa9b518bbcda4967407969bc53268b0bf
46406635.txt,datos/core/46406635.txt,43853,1752593519,237511d07d8704b3163589bae28aefaa8d20fdf3
129258041.txt,datos/core/129258041.txt,39284,1752593199,9cb462d05b6b8a11caf8fe7e433ec8f0b0586923
61106076.txt,datos/core/61106076.txt,20071,1752593035,b644ec629d2202c357efce16e10b73a648bfba1a
70418648.txt,datos/core/70418648.txt,12353,1752593500,7996775db0594b7c56dd87cf5bc9b11317714c64
11733066.txt,datos/core/11733066.txt,55118,1752593028,0bb32fad9ae434e5906dd3c5186be49f67178cbd
172065429.txt,datos/core/172065429.txt,3794,1752593465,398cf14718b3c3034e2e9602c4e3eb2a447aacce
218559192.txt,datos/core/218559192.txt,521626,1752593331,3b888e2eb652338b058a19e313d3d0b9261eaefd
112785792.txt,datos/core/112785792.txt,51903,1752593202,99651462b8753b0df9ec63445ec527342997e75c
202132.txt,datos/core/202132.txt,270088,1752593527,a8d2f12bb934c828ca2cc732b0f0a3b867f53896
14217389.txt,datos/core/14217389.txt,81222,1752593167,5cacd318abfeeec5e9b65723c51b694eef40703e
71058448.txt,datos/core/71058448.txt,20607,1752593339,7d0e7e9bbc76dab4835d44a850fdf5628ab91e50
96739562.txt,datos/core/96739562.txt,116972,1752593026,2cd5f65699d6a714c3c6b94601c6ab23df2a0900
157895009.txt,datos/core/157895009.txt,25092,1752593321,e858ff64bf6805747c29f9fd69c61f3896857960
108414513.txt,datos/core/108414513.txt,157567,1752593423,e429ad0767284de2361869939f1ec7fd367dcfdd
158050344.txt,datos/core/158050344.txt,40201,1752593497,4ae0629d174015996269e201370f9623ebe15581
11091678.txt,datos/core/11091678.txt,46344,1752593379,2e92905bb2b45bbe36fd29f3589364bdeb7f091b
275476310.txt,datos/core/275476310.txt,12803,1752593280,1fbf7475486d78615c88d28e26dd4147537e897a
13935928.txt,datos/core/13935928.txt,140839,1752593426,07f454ad6eb949635f44ca8663f40c0c3f996047
82293018.txt,datos/core/82293018.txt,37585,1752593028,44e1feddca0cd952469c168d86f2dc0c09eccd5c
30742450.txt,datos/core/30742450.txt,18448,1752593167,828b3e0d9fdb19bef8e567f28afccd246460da6a
71061968.txt,datos/core/71061968.txt,10131,1752593035,0219d6b2a7203da4ca214739dde272562318e541
122586179.txt,datos/core/122586179.txt,72975,1752593489,995d9686f2b8dd8fe3a8da54721d251806c678bb
153231469.txt,datos/core/153231469.txt,41622,1752593094,44319e2cd4cdb2be10e19613434ef07fefe34800
58144803.txt,datos/core/58144803.txt,176054,1752593039,26767b971e737eb25a961e891afd86879d945e3a
7593534.txt,datos/core/7593534.txt,39290,1752593027,a1e344d2252cc8489712c3e48b9cd6db75d0163f
7425563.txt,datos/core/7425563.txt,17301,1752593068,687d98546319486be874def0466bab293b3a9ad0
140155376.txt,datos/core/140155376.txt,9908,1752593285,be4df3ce3e88557aef8c294627569c4cfb57643c
161761214.txt,datos/core/161761214.txt,10474,1752593041,92a05746e691c652ab6b32e1103ac16de1e57c85
207180.txt,datos/core/207180.txt,341791,1752593127,e8a3a4731710b47af4c3979b67cce0d77e60b11d
126905172.txt,datos/core/126905172.txt,84433,1752593348,5dc93f2297ad2193e089ba63a8469aebe090800b
8944555.txt,datos/core/8944555.txt,22768,1752593032,e04571d15e8bdaa02da8644c237358234a3220a2
41788586.txt,datos/core/41788586.txt,197019,1752593279,e782e335352fa42bfbff710244bab6f492985920
67806731.txt,datos/core/67806731.txt,62618,1752593422,7e318624d3aafd8f3f41cc0abcdbbd51192c9e5a
7635689.txt,datos/core/7635689.txt,100605,1752593230,c053065bf5496ed96e9d81f3240deabedc0a435e
57197803.txt,datos/core/57197803.txt,853571,1752593030,ab7f9a06103b5221802ddb32c6b5b466ecdc826b
84110665.txt,datos/core/84110665.txt,5324,1752593064,a6f6279360f991d8cfbc8922e26a77e942db9420
275144316.txt,datos/core/275144316.txt,42321,1752593384,8d825da45b0e9ed8f13d81c13fbabf0e7cfcb1e5
84118765.txt,datos/core/84118765.txt,253837,1752593097,fe5a93e8d50d27b01c3b7af715559936650c664a
128395702.txt,datos/core/128395702.txt,123016,1752593047,34a87b99e4752e9f41ecd2500fdbd85fe69544a4
14417215.txt,datos/core/14417215.txt,158430,1752593025,d4ec6d929a232fdb43347f7023b52043056e4959
68211195.txt,datos/core/68211195.txt,4003,1752593028,538acb4d0f87f2f881aad7d1c1df5f332755b0af
75553149.txt,datos/core/75553149.txt,37243,1752593383,547ba3a0ce7ab8eda2b0b64f8258d1fcfd11d2c1
86680317.txt,datos/core/86680317.txt,34957,1752593045,8358fdd5967a5204ad2e9747700059177c1bb60e
151055015.txt,datos/core/151055015.txt,208410,1752593081,42bf038fe349d9d63719e6d784d1643e515953da
11353526.txt,datos/core/11353526.txt,41944,1752593029,8db4247f39ccac794a5c04b201eab831a2749c10
84100707.txt,datos/core/84100707.txt,272474,1752593033,c528407e3e05d88ead988039b9910f644d72a12c
7913018.txt,datos/core/7913018.txt,256322,1752593503,ca1c294e18ca7e058bf1f439c585487e5d88c7f2
128636297.txt,datos/core/128636297.txt,33698,1752593033,f972de38bffdf46637afe1cb6595de8d36865f87
150843820.txt,datos/core/150843820.txt,160171,1752593038,33c219a43a524e396f888a2c6a49a58f86ef18fe
124862989.txt,datos/core/124862989.txt,23448,1752593322,617ed91b73cf701dbe47ca9499f2ce8d7a42a26b
275136251.txt,datos/core/275136251.txt,47780,1752593293,53caca8a10993567e8091f58245e4f8cacd276aa
39695923.txt,datos/core/39695923.txt,84602,1752593032,d30e9c91e62ed0f55c7972486e128b8cd39e8abd
170311636.txt,datos/core/170311636.txt,72447,1752593332,81b9f538c222ff58ffefa9ac39de83707bb9c51d
171884093.txt,datos/core/171884093.txt,263672,1752593382,a80fd761565a3fa8b6d98601dc0f4bf805a8e6db
159780235.txt,datos/core/159780235.txt,11485,1752593029,e2bff7b4a7ca1675b3baba08ff4d8ed934b82349
174701090.txt,datos/core/174701090.txt,13793,1752593377,f99d598884c0995821597a0e560ecf8c25f3693b
77510805.txt,datos/core/77510805.txt,34156,1752593028,0bd5fa87d13bcc53777f11a3710c4636865e67f9
126941109.txt,datos/core/126941109.txt,61566,1752593025,d88b646ee6004a5cde1d337fdb943e89b2748cd0
14421911.txt,datos/core/14421911.txt,79526,1752593301,0d17c932a99ae1427ddb8e36be600f784e6a45c7
160309054.txt,datos/core/160309054.txt,34444,1752593131,b6f546bef54be80e55f66b5cf5d4f88019dfa66a
159304096.txt,datos/core/159304096.txt,25562,1752593029,73da784f997d517b630b7474c05f76543eb60bcd
171939094.txt,datos/core/171939094.txt,137790,1752593453,72848d375e9a8f212e5483b2f15c124cedd0d5a6
158699257.txt,datos/core/158699257.txt,40765,1752593486,0a5ad5ec5c3eb4f8c116d6bca732a195a328af1a
268527983.txt,datos/core/268527983.txt,117446,1752593461,d50fbb67626e813831160f6412db44807f7c9928
46774700.txt,datos/core/46774700.txt,133493,1752593029,b09d1dcfb3da8a9ea492f1ecb4d5318949796407
131182575.txt,datos/core/131182575.txt,76067,1752593353,4f2748a223096202b92c419bdca5d761aa44d40f
154081866.txt,datos/core/154081866.txt,33482,1752593041,e43dc7ecb8c6c02f07486b612d33a497fe95b867
275910020.txt,datos/core/275910020.txt,63445,1752593452,e605ae36c98ef48a88f554f9ddbcfd6eb6d2416d
124862297.txt,datos/core/124862297.txt,163996,1752593145,c14afbff69722645d1dfa2d3f55982d1eb38dfbc
151592985.txt,datos/core/151592985.txt,6175,1752593474,7deb407eab9d567aa4d37c4ccd653436fac99a0c
139268333.txt,datos/core/139268333.txt,17210,1752593118,1bc0aad263026eaa8cbf7b522d6a502948a29981
158553279.txt,datos/core/158553279.txt,12781,1752593024,e8f979d2f90d36df2a8738b6310079f2f1ca1fb4
85008393.txt,datos/core/85008393.txt,64827,1752593325,daa9d1067544b195a890391d143a01886ee49e1e
7634711.txt,datos/core/7634711.txt,107354,1752593031,7b0f63629c6699da032428eaed1c3557c97e8fea
39391679.txt,datos/core/39391679.txt,34135,1752593303,6ba494bc097a82f306e32d68c55ea28a3edf4b8f
41012397.txt,datos/core/41012397.txt,82672,1752593432,0682b6e3703f2ef23c1493d6c7cfcbcd2a283d95
98901686.txt,datos/core/98901686.txt,19088,1752593161,b6fef9ed149206cd53a3c841736d4e7d472c2a6f
86563154.txt,datos/core/86563154.txt,112676,1752593053,599ca763ba5165e8fd5e345751f05024399ffe9c
82319034.txt,datos/core/82319034.txt,8784,1752593034,777807533875d5adede2a2bf5c25b0c73ad95dff
172813627.txt,datos/core/172813627.txt,4045,1752593034,01e4164878d5ee9b2dd43c5457efb419d68b78b2
86817956.txt,datos/core/86817956.txt,52965,1752593032,8b005abf97829afa1ae22be7698e094f2a3dd251
145408679.txt,datos/core/145408679.txt,7589,1752593202,575fabf27e04c29f52434fabbc6919028d0aab01
174661677.txt,datos/core/174661677.txt,7954,1752593439,88aa3d88f749ea33ea74434b36bd332918500d38
142912057.txt,datos/core/142912057.txt,23835,1752593366,ea9aaccfa0ac501fbf563db53aeae77323de4b6d
11738427.txt,datos/core/11738427.txt,220204,1752593323,65f17bbf46e0b7583635c34f6b8550dc6cccbca7
80510623.txt,datos/core/80510623.txt,1881,1752593120,37c97d54e8823256659d72ddde116bfec686a5ea
68245633.txt,datos/core/68245633.txt,3459,1752593398,f473fbad0756b82d2eb086cde81418adf5b2923d
148774974.txt,datos/core/148774974.txt,27371,1752593211,6df8668e5f59537e6512434f7cedc9c6942379d0
149678984.txt,datos/core/149678984.txt,144304,1752593036,9f002b8a72bd8e8f130106bff8393ee37e07dee2
34091125.txt,datos/core/34091125.txt,12479,1752593036,6ba0131105d546d77f5ec09715b06e3d0e2ad170
155627480.txt,datos/core/155627480.txt,10541,1752593499,77576bae6840521752e6e5ee55eb53e7882ec2a3
130429341.txt,datos/core/130429341.txt,38855,1752593026,ec8088dd205320e6ed1178b410a1b6e44ee3ecc8
46000631.txt,datos/core/46000631.txt,201462,1752593413,724eb97c3a57db424373f35a91f86f3db1fc7746
77971890.txt,datos/core/77971890.txt,58847,1752593288,878c20b0036a784346737db805396aec79aad3b3
159076667.txt,datos/core/159076667.txt,246062,1752593037,45ad842add73fb4e2b56be12aae0b3548b2927ed
128601109.txt,datos/core/128601109.txt,51600,1752593486,9887141a0613b0c603582103998b2ff738c77aed
61109923.txt,datos/core/61109923.txt,6762,1752593039,60e769b8cf32e2a3d8687171dff16545437fd226
7761490.txt,datos/core/7761490.txt,39965,1752593509,732c1a63a720fc61dcf6da3546a6b2d6b4248105
120343673.txt,datos/core/120343673.txt,169505,1752593446,2994ede14be07960a266e4d0b8ceda16fdb9e165
68650730.txt,datos/core/68650730.txt,130993,1752593313,2afbb39ab70e3003e147b307c969de3e4dd4b65a
86677010.txt,datos/core/86677010.txt,28933,1752593036,f251142620adcebdc398414507438026e0efd29a
122360141.txt,datos/core/122360141.txt,40495,1752593469,3c382dd338778d9fcd0f8243868d9378d2937ef4
40993266.txt,datos/core/40993266.txt,7525,1752593035,6aca8298a36f87f21bbbb09576be0d4edbd05b6c
129312667.txt,datos/core/129312667.txt,2966,1752593025,88d5eac874a3eafc9a759b2e1075a4e52e066a8a
154858896.txt,datos/core/154858896.txt,141161,1752593040,a85decee920e4098d91357bea751bb4e24161e6e
157495971.txt,datos/core/157495971.txt,92694,1752593113,8ec8fe35c3bd5888d79cf41b6bde450b998486cd
160962669.txt,datos/core/160962669.txt,21630,1752593144,b57d5900de3d15738318474002245d4591464299
159110063.txt,datos/core/159110063.txt,180790,1752593030,7c22b93091c8854b54aef773de2200420c6d800b
82277114.txt,datos/core/82277114.txt,5461,1752593035,4b5c673257a593bf31a06488a025a862a51bcfe6
86351644.txt,datos/core/86351644.txt,51217,1752593448,a7fa52191f0b5e6eaf5689f96751563b24ad2232
268684002.txt,datos/core/268684002.txt,27419,1752593521,46d112cd01ecbeaff1cffc1f498a02dfa0bb8a8a
60994013.txt,datos/core/60994013.txt,49974,1752593027,a050cf8af743896424802603a5261e4e835a1b61
86794370.txt,datos/core/86794370.txt,57844,1752593088,64452f480b9b5d717e2fa7e8d4f24921645dfda1
172066013.txt,datos/core/172066013.txt,24183,1752593281,6ae732e8f390271111046230428b7b73b5e48d39
122455975.txt,datos/core/122455975.txt,57433,1752593323,9fea4f3b9c338086468cead3857a6a1ef393f331
174742451.txt,datos/core/174742451.txt,90352,1752593275,fd19dc67b75a1621cd134f9a1e4721837c6607a1
41013590.txt,datos/core/41013590.txt,45118,1752593107,a639679b472c8051c83ea3e1531b35fa85a6307a
150415521.txt,datos/core/150415521.txt,87103,1752593039,1ed7d77a3c0f6588feec6bc6d13f98b4c48fc7eb
146170714.txt,datos/core/146170714.txt,126856,1752593406,49d9e0d532f09301a13e318cc2e42dc3f59b2c50
11375378.txt,datos/core/11375378.txt,7909,1752593024,84589cdba1f3a683abaf7225eef39693cd2f2a7d
145594895.txt,datos/core/145594895.txt,377954,1752593300,9fca8cf7487693da1137ca4e30e9640054908320
153259526.txt,datos/core/153259526.txt,69022,1752593456,8b5cf78f37f5835bcc4d8c18c6f4e6d7f65ffe25
170267189.txt,datos/core/170267189.txt,360948,1752593508,41dde2357f3d677ef7eb0b4f48f2d3fa4822e31f
84104905.txt,datos/core/84104905.txt,31444,1752593028,ef6ff280b582da4e1a8bf0aac5f456b859cb618e
7606751.txt,datos/core/7606751.txt,37477,1752593027,c7ec90f9f4156e48ec3564606df2c39f0861766e
5255640.txt,datos/core/5255640.txt,45172,1752593028,ef04b133141e390b73e53fdc13bd93d5f8dd636d
134129494.txt,datos/core/134129494.txt,72412,1752593283,5bc7ce1119143c7b95c8fc31a2bc6961a44afdc5
86587427.txt,datos/core/86587427.txt,9046,1752593033,5e5e9cb0f185375591929f82838e89a453ff0b05
112493290.txt,datos/core/112493290.txt,62537,1752593155,b6d79ef036ff85b9a229553d1c42300e589a983a
107418058.txt,datos/core/107418058.txt,35222,1752593032,68617762adef625d12fa1c3073f38b0f567d43d7
87014753.txt,datos/core/87014753.txt,21687,1752593370,3fd7efa1bac3034598fc234311136dea610ed67d
86571258.txt,datos/core/86571258.txt,154329,1752593283,5420460ac5f915e450cbcf0f493af484485ef9c8
156130250.txt,datos/core/156130250.txt,55117,1752593496,36792f3de11a6fbd3e65971a5688d9dc03dd4888
143564595.txt,datos/core/143564595.txt,11831,1752593030,a94620e77c5583268992951ff38fcb17148728ee
11936536.txt,datos/core/11936536.txt,42832,1752593295,4d43a9b8af87eb93ba9616ab03c6086a03c52c4d
162466914.txt,datos/core/162466914.txt,10184,1752593217,c09e2eadc9877c2f35c1a392147ae2521af8c9f2
148448849.txt,datos/core/148448849.txt,107252,1752593086,6484db5736caae2c9deb6d1f6a5b4e28600d09f5
174672137.txt,datos/core/174672137.txt,142020,1752593408,dae4905fdaf03ecb279ba150b00962290ccfb693
127958347.txt,datos/core/127958347.txt,80031,1752593029,90ec3a91c7cce63da29f82c2a4dcfd31c9021c02
108119154.txt,datos/core/108119154.txt,65810,1752593029,8a9aeef25ab06431cb513e848ebd206a0840bcd1
7854888.txt,datos/core/7854888.txt,1655,1752593028,d62ae122b6c379872be87ed960ba1599810afbed
86568077.txt,datos/core/86568077.txt,7540,1752593484,a8b70bb65361088df3290af9b6b41f2c7c9412fa
162888493.txt,datos/core/162888493.txt,145158,1752593027,74bc08ed98a5ca5fe0816e5190c4197b7a93e108
41004554.txt,datos/core/41004554.txt,45895,1752593040,31f4034a1893299b79cb41f1a001fa6e49dad384
127959093.txt,datos/core/127959093.txt,101708,1752593024,0863daa50ed87b81743026598899f051ab7070ec
86676188.txt,datos/core/86676188.txt,1169,1752593154,5930122ccfaaf9e7a665d95a0e941d0459ae7947
95388877.txt,datos/core/95388877.txt,7090,1752593030,2ee51f2d1d4375e2642098467ba956d7aae6d12a
158145933.txt,datos/core/158145933.txt,58499,1752593032,f3c43f930bb51b1dc822d9d82703207e5e452202
150060304.txt,datos/core/150060304.txt,29646,1752593356,d6d8be686a2791171970edb6db7bd82adf721341
52451606.txt,datos/core/52451606.txt,69422,1752593174,5afb379c83f0b4b42ba432dc1743de616a4593dd
167350485.txt,datos/core/167350485.txt,54130,1752593212,d9f5cca015e3fb6a243a7b2acab7c7346fe4685b
132746145.txt,datos/core/132746145.txt,31274,1752593171,51d2fbab5e493b0df3c2cf20fc252b35447c666b
10185019.txt,datos/core/10185019.txt,47840,1752593029,aa58a9398778b2e7a7cba92e57d4f480ff73e141
167956605.txt,datos/core/167956605.txt,52181,1752593176,6e55a9e1e390b5b6629c5e626dcdd3baede07146
122789267.txt,datos/core/122789267.txt,38455,1752593163,d20f0bbb7f7cdd9a334d4ea99730602b29f42615
129100329.txt,datos/core/129100329.txt,46852,1752593069,d188fc6db5e66e4f168aa3e869d348702aa1d920
151497102.txt,datos/core/151497102.txt,48887,1752593083,b6b1e6b132a53c5883e9a3f012cd0ed1d0972987
112785916.txt,datos/core/112785916.txt,59862,1752593054,275f714f02d61b33d417efce5283ec001885ef83
276153459.txt,datos/core/276153459.txt,3616,1752593328,731d11246639e51981ac879899ef205a602949cd
57298637.txt,datos/core/57298637.txt,1045,1752593179,5cda425d8ef091381e904eb8272d449352fa8569
132992819.txt,datos/core/132992819.txt,54267,1752593025,e8403ce97cc081bd76fa96d28c6b60f320f812c4
172876739.txt,datos/core/172876739.txt,60719,1752593515,16a3fc406af2e4b3b04de4bfd1953d195b47657c
158893362.txt,datos/core/158893362.txt,6293,1752593220,218db99aeac28cf2fe3de2e605afc84772714450
136579968.txt,datos/core/136579968.txt,19335,1752593128,eff542590fc3895cae2b8444b5ea4ff1426e41c9
69404053.txt,datos/core/69404053.txt,20172,1752593376,949a27d463ef4cfc6bcb1c1a0b9c8d183b645872
150039034.txt,datos/core/150039034.txt,61761,1752593036,de9e1ed264f7fccb3d617b31718c72c93cada17b
150369224.txt,datos/core/150369224.txt,32509,1752593095,a7e58214453addc1799b299971ad253818ae0429
172067664.txt,datos/core/172067664.txt,8233,1752593523,e66464b81d934790d02567de278c96800a4fbac7
162889008.txt,datos/core/162889008.txt,223440,1752593209,10920d612bbee8262d44fbb721101a6afd59ad05
46317383.txt,datos/core/46317383.txt,77159,1752593028,1552538fa5ee5cfaec527154a0ade7f287331201
113590267.txt,datos/core/113590267.txt,16103,1752593040,fb40f8a98cf142460a5768a887fa9308ffd33f08
141962628.txt,datos/core/141962628.txt,176604,1752593036,f83a5df8940926a6744498ddeb4e82c424221f6b
59868359.txt,datos/core/59868359.txt,81411,1752593396,c84b0d73c2d418da100475ecb8af41b17cc2ff4c
154882312.txt,datos/core/154882312.txt,37345,1752593063,ec121f81679425b8cd1ce2bd84bfc151e32cb6a4
70859499.txt,datos/core/70859499.txt,17420,1752593447,ff0e103dba4f52d143e040375d81f0b19ac6a506
33163639.txt,datos/core/33163639.txt,73794,1752593214,efac98b1bdf16b17cc3bb094a393a492c077e059
46800978.txt,datos/core/46800978.txt,99686,1752593055,d244929779d08206a7931705d9a7ed319362b040
127102742.txt,datos/core/127102742.txt,19617,1752593026,7c46f43bd553cd673aa725f4bf51e6f1a74e7c90
84096079.txt,datos/core/84096079.txt,16788,1752593032,237e7919d97cda92a290b964490eb445f8147849
170717433.txt,datos/core/170717433.txt,71378,1752593424,d32b712fac6f786fc57932ed33affb3db36cdae7
59754149.txt,datos/core/59754149.txt,13683,1752593375,7124c49bcbb2698f089fb5c0165520b09caff3bb
190851.txt,datos/core/190851.txt,19863,1752593459,ee7b2e2e7d6a22bac68f5f5814cc5d89ecef521f
86564914.txt,datos/core/86564914.txt,163693,1752593466,79bb00c65b69f33a29bd82f2c24b569702450fe6
39819739.txt,datos/core/39819739.txt,256796,1752593203,d622055f8b25da7218928e1da8552cbba85977dd
